Updated 3/5/2017,CPU,Blck,Core Mult,Core Freq,Cache Freq,Vcore in Bios,Vcore,Fclk,Cooler,Stability,Batch,Ram Settings,Motherboard,Additional Comments,Picture Verified?,VCCIO,SA
Enterprise24,6500,156.25,32,5,5,1.47,1.47,1.562,Custom Loop (380/360mm) + Delid w/ GTX 240,P95 v28.10 1344 1hr,Malay L540B592,3600 17-18-18-38-2T @ 1.4v,MSI z170 Gaming Pro Carbon,"LLC Mode 1, Ambient 25C, 62C load",Yes,,1.05
brumbaer,6700k,100,50,5,5,,1.583,1,H110 Delid Reseal,P95 v28.7 1344 1hr,L5468627,3100 15-15-15-35 @ 1.35v,Asus z170 A,"LLC Level 2; Overclock is part degradation science project, part daily driver",Yes,,
Maintenance Bot,6600k,100,50,5,4.5,1.43,1.44,1,"Custom Loop, 2x240mm, Delid Reseal",OCCT 1hr,X543B791,2666 13-14-14-39-2T @ 1.35v,ASRock z170 OC Formula,"SI binned 4.9ghz + delid service, LLC Level 1",Yes,,
SteveRo,6700k,100.125,49,4.906,4.735,1.395 +110mv,1.456,0.8004,Custom Loop,x264 16T 5hr (x34),Malay L535B123,3122 14-15-15-36 @ 1.4v,ASRock z170 OC Formula,LLC Level 2,Yes,,
Excession,6700k,100,49,4.9,4.7,1.5,1.519,1,"Custom Loop, 360mm, Delid",P95 v28.9 Blend 2.5hr,Malay L524B574,3200 16-16-16-36-1T @1.5v,Asus z170 Deluxe,"LLC Level 6, Originally 4.7/4.7 # 1.344v under Realbench 8hr on Hyper Evo.",Yes,,
v1ral,6700k,100,49,4.9,4.6,,1.44,1,"Custom Loop, 360mm + H220X",Realbench 8hr,X551C486,XMP 2400 16-16-16-39-2T @ 1.2v,ASRock z170 Extreme 7,"LLC Level 1, SI binned 4.8ghz + delid service",Yes,,
QuantumX,6700k,100,49,4.9,4.5,1.385,1.386,1,"H80, Delid",x264 16T 7hr (x67),L519C192,3200 15-15-15-45 @ 1.29v,MSI z170 Titanium,LLC Mode 2,Yes,1.09,1.03
Spagy,6600k,100,49,4.9,3.9,1.465,1.41,1,H110i GTX,"OCCT v4.4.1 1.5hr, OCCT Linpack 5hr",L521B469,XMP 3200 16-16-16-36 @ 1.35v,Asus z170 Hero,LLC Level 6,Yes,,
SteveRo,6700k,101.9,48,4.891,4.18,1.395 +200mv,1.456,0.8004,"Custom Loop, 2 x 480mm, Delid Reseal",x264 16T 6hr (x50),Malay L542B535,3532 15-17-17-36 @ 1.41v,ASRock z170 OC Formula,"LLC Level 1, SI binned 4.8ghz + delid service",Yes,1.21,1.2
Arctucas,6700k,103.5,47,4.864,4.761,1.39,1.402,1.035,"Custom Loop, 420mm, Delid + Reseal",Realbench 8hr,Vietname X551C521,3727 15-15-15-34-2T @ 1.455v,EVGA Classified K,,Yes,1.224,1.264
