cpu,bclk,core_mult,core_freq,cache_freq,vcore,fclk,batch,ram,mb
6500,156.25,32,5,5,1.47,1.562, L540B592,3600 17-18-18-38-2T @ 1.4v,MSI z170 Gaming Pro Carbon
6700k,100,50,5,5,1.583,1,L5468627,3100 15-15-15-35 @ 1.35v,Asus z170 A
6600k,100,50,5,4.5,1.44,1,X543B791,2666 13-14-14-39-2T @ 1.35v,ASRock z170 OC Formula
6700k,100.125,49,4.906,4.735,1.456,0.8004, L535B123,3122 14-15-15-36 @ 1.4v,ASRock z170 OC Formula
6700k,100,49,4.9,4.7,1.519,1, L524B574,3200 16-16-16-36-1T @1.5v,Asus z170 Deluxe
6700k,100,49,4.9,4.6,1.44,1,X551C486, 2400 16-16-16-39-2T @ 1.2v,ASRock z170 Extreme 7
6700k,100,49,4.9,4.5,1.386,1,L519C192,3200 15-15-15-45 @ 1.29v,MSI z170 Titanium
6600k,100,49,4.9,3.9,1.41,1,L521B469, 3200 16-16-16-36 @ 1.35v,Asus z170 Hero
6700k,101.9,48,4.891,4.18,1.456,0.8004, L542B535,3532 15-17-17-36 @ 1.41v,ASRock z170 OC Formula
6700k,103.5,47,4.864,4.761,1.402,1.035, X551C521,3727 15-15-15-34-2T @ 1.455v,EVGA Classified K
6600k,101,48,4.848,4.848,1.408,1.01, L526B286,3232 16-16-16-36 @ 1.35v,Asus z170 Hero
6600k,100.75,48,4.836,3.929,1.456,0.806, L524B346,2146 15-15-15 @ 1.37v,ASRock z170 OC Formula
6700k,101,48,4.848,4,1.456,1.0098,,2666 16-18-18-35 @ 1.25v?,Asus z170 Hero
G4400,146,33,4.818,4.818,1.472,1.46, L525C594,2336 15-17-17-39,Asus z170 Deluxe
G4400,146,33,4.818,1.47,1.467,1.168,  X550C043,2724 16-17-17-36-1T @ 1.25v,ASRock z170 OC Formula
6700k,100.15,48,4.805,4.104,1.456,1000.7, X615C436,2133 15-15-15-36 @ 1.2v,Asus z170 Formula
6700k,104.43,46,4.803,4.281,1.44,1.044, LN6564,3342 15-17-17-35 @ 1.4v,MSI z170 M1
6700k,100.2,48,4.8022,4.1028,1.482,1.0017, L550C79,3005 @ 1.36v,Asus z170 Gene
6700k,100,48,4.8,4.8,1.344,,L527B283,2400 15-15-15-36 @ 1.2v,Asus z170 Gene
6700k,100,48,4.8,4.8,1.392,0.8,L548C033,2133 15-15-15-36 @ ??v,Gigabyte z170 Gaming 7
6400,177.8,27,4.8,4.8,1.41,1.423, X540B320,1950 19-21-21-41 @ 1.37v,ASRock z170 OC Formula
6700k,100,48,4.8,4.8,1.424,1,,3600 16-18--18-35 (4 dimms) @ 1.45v,ASRock z170 OC Formula
6700k,100,48,4.8,4.8,1.432,, L525B503,2133 15-15-15 @ 1.2v,MSI z170 Gaming m7
6600k,100,48,4.8,4.8,1.44,1,L526B323,3200 14-14-14-35-1T @ 1.41,ASRock z170 OC Formula
6700k,100,48,4.8,4.8,1.44,1, X645B547,3000 15-15-15-35-2T @ 1.36v,Asus z170 Pro
6700k,100,48,4.8,4.8,1.484,, L523B483,3000 17-18-18-36 @ 1.35v,Asus z170 Pro Gaming
6700k,100,48,4.8,4.8,1.488,1,L539B636,3866 C18 @ 1.475v,Asus z170 Extreme
6600k,100,48,4.8,4.6,1.36,1,Germany L545B253, 2400 15-15-15-35 @ 1.2v,MSI z170 M5
6700,141.5,34,4.8,4.5,1.416,0.566,,3000 16-16-16-36 @ 1.35v,Gigabyte z170 Gaming 5
6700k,100,48,4.8,4.5,1.44,1, L518C404,3200 15-17-17-36 @ 1.4v,Asus z170 Hero
6700k,100,48,4.8,4.3,1.312,1,L546B905,3066 15-16-1635-2T @ 1.25v,Asus z170 Extreme
6700k,100,48,4.8,4.3,1.354,1,L526B223,3200 16-16-18-36 @ 1.35v,Asus z170 Hero
6700k,100,48,4.8,4.2,1.4,, L524B277,2133 15-15-15-35 @ 1.36v,Asus z170 A
6700k,100,48,4.8,4.1,1.354,1,,,MSI z170 XPOWER Titanium Edition
6600k,100,48,4.8,4.1,1.376,1, L549C368, 2400 16-16-16-39 @ 1.2,Asus z170 Ranger
6700k,100,48,4.8,4.1,1.376,1,L605G559,3200 @16-16-16-36-2T @ 1.355v,Asus z170 Impact
6700k,100,48,4.8,4.1,1.376,0.8, L550C776,3600 16-16-16-36-2T @ 1.35v,ASRock z170 Formula
6700k,100,48,4.8,4.1,1.392,1, L537B128,3000 15-16-16-36 @ 1.35v,Asus z170 Extreme
6700k,100,48,4.8,4.1,1.416,1,L536B198,3200 16-18-18-36 @ 1.35v,Asus z170 Gene
6700k,100,48,4.8,4.1,1.44,, L527B622,3000 15-15-15 @ 1.35v,Asus z170 Hero
6700k,100,48,4.8,4.1,1.444,1, L605F197,3000 15-17-17-35-2T @ 1.353v,Asus z170 Ranger
6700k,100,48,4.8,4,1.454,1,L535B031,3000 15-17-17-35 @ 1.35v,Asus z170 Deluxe
6600k,100,48,4.8,3.9,1.36,1, L603F536,3000 15-17-17-39 @ 1.35v,Asus z170 A
6700k,100,48,4.8,3.9,1.37,1,L552C472,3200 16-18-18-36 @ 1.36v,MSI z170 M7
6600k,100,48,4.8,3.9,1.392,, L524B346,2133 15-15-15-35-2T @ 1.2v,Asus z170 Deluxe
